,Site,Lat,Lon,Elev,Climate,continent,country_code
164884,Finokalia-FKL,35.337712,25.669762,258.0,Csa,Europe,GR
164994,Toulouse_MF,43.57261,1.37432,160.0,Cfb,Europe,FR
165058,Dakar,14.394167,-16.958611,21.0,As,Africa,SN
169816,Shirahama,33.69345,135.356917,10.0,Cfa,Asia,JP
170825,Gotland,57.916667,18.95,10.0,Cfb,Europe,SE
170867,Pretoria_CSIR-EC,-25.750126,28.278441,1403.0,Cwb,Africa,ZA
170930,Missoula,46.916668,-114.083336,976.0,Dfb,North America,US
171182,DRAGON_BLLRT,39.389385,-76.578242,127.0,Cfa,North America,US
171197,Coruna,43.363,-8.4208,67.0,Csb,Europe,ES
171306,Porto_Velho,-8.77,-63.95,110.0,Am,South America,BR
171310,KORUS_Olympic_Park,37.52165,127.12418,45.0,Dwa,Asia,KR
171343,Kirtland_AFB,34.95081,-106.507403,1711.312,BSk,North America,US
171344,ARM_Darwin,-12.425,130.891,29.9,Aw,Oceania,AU
171538,Manila_Observatory,14.63525,121.07784,63.0,Am,Asia,PH
171777,Dry_Tortugas,24.628056,-82.871944,3.0,Aw,North America,US
171804,Monclova,25.95,-101.47,1714.0,BWh,North America,MX
171806,Okinawa_Hedo,26.867,128.249,60.0,Cfa,Asia,JP
171871,Pokhara,28.186643,83.97518,800.0,Cwa,Asia,NP
174114,DRAGON_Soha,37.45213,126.8847,48.0,Dwa,Asia,KR
174201,DRAGON_Kofu,35.678889,138.571534,314.0,Cfa,Asia,JP
174246,ND_Marbel_Univ,6.496011,124.842531,70.0,Af,Asia,PH
174317,Fort_McKay,57.1835,-111.64,267.0,Dfb,North America,CA
174379,Biarritz,43.483333,-1.55,42.0,Cfb,Europe,FR
174382,Magurele_Inoe,44.348292,26.030703,90.0,Cfa,Europe,RO
174672,Valladolid,41.6636,-4.70583,705.0,Csb,Europe,ES
174775,KORUS_NIER,37.56893,126.63971,26.9,Dwa,Asia,KR
174848,Bonanza_Creek,64.742805,-148.316269,353.0,Dfc,North America,US
175062,NEON-CPER,40.812444,-104.744238,1655.0,BSk,North America,US
175166,Villefranche,43.683889,7.328889,130.0,Csb,Europe,FR
175462,Ji_Parana,-10.86,-61.799999,168.0,Aw,South America,BR
175489,Windsor_M,42.17,-82.87,190.0,Dfa,North America,CA
175490,Hankuk_UFS,37.33883,127.26582,167.0,Dwa,Asia,KR
176078,NEON_CVALLA,40.16063,-105.16725,1539.0,BSk,North America,US
176120,USGS_Flagstaff_ROLO,35.21484,-111.63442,2179.6,Dsb,North America,US
176150,DRAGON_Visalia,36.31411,-119.39301,89.0,BSk,North America,US
176157,San_Cristobal_USFQ,-0.8954,-89.60879,22.0,BSh,South America,EC
176158,DRAGON_Fukue,32.752,128.682,80.0,Cfa,Asia,JP
176173,DRAGON_Mt_Ikoma,34.6798,135.678667,600.0,Cfa,Asia,JP
176186,Izana,28.30932,-16.49906,2401.0,Csb,Europe,ES
176273,Catalina,32.456511,-110.879547,935.0,BSh,North America,US
176311,Brest_MF,48.444565,-4.411855,101.0,Cfb,Europe,FR
176367,Momuy_MF,43.6243,-0.6092,124.0,Cfb,Europe,FR
176370,Aguascalientes,21.7,-102.32,1861.0,BSh,North America,MX
176372,NEON_SCBI,38.892919,-78.1395,354.0,Cfb,North America,US
176499,Shouxian,32.558383,116.78195,22.7,Cfa,Asia,CN
176701,CUIABA-MIRANDA,-15.73091,-56.07086,210.0,Aw,South America,BR
177498,Tomsk,56.475351,85.04806,174.0,Dfc,Europe,RU
177641,BONDVILLE,40.053333,-88.371944,212.0,Dfa,North America,US
178179,Red_Mountain_Pass,37.907449,-107.710917,3376.0,Dfc,North America,US
178184,Thompson,55.799999,-97.849998,218.0,Dfc,North America,CA
178195,El_Nido_Airport,11.2051,119.4135,4.0,Aw,Asia,PH
178197,Munich_Maisach,48.209,11.258,520.0,Cfb,Europe,DE
178207,IMS-METU-ERDEMLI,36.565,34.255,3.0,Csb,Asia,TR
179103,Jabiru,-12.6607,132.8931,30.0,Aw,Oceania,AU
179398,Gangneung_WNU,37.771,128.867,60.0,Dfb,Asia,KR
179992,DRAGON_DenverLaCasa,39.77949,-105.00518,1601.0,BSk,North America,US
179993,Univ_of_Lethbridge,49.681672,-112.868967,904.0,BSk,North America,CA
180129,Aras_de_los_Olmos,39.945,-1.1016,1280.0,Cfb,Europe,ES
180150,ARM_LaPorte,29.669,-95.059,7.0,Cfa,North America,US
180151,Santa_Cruz_Tenerife,28.472528,-16.247361,52.0,Csb,Europe,ES
181182,LAMTO-STATION,6.223517,-5.026617,105.0,Aw,Africa,CI
181489,Majadas,39.955031,-5.775914,258.0,Csa,Europe,ES
181500,Ndola,-12.995,28.658333,1270.0,Cwa,Africa,ZM
181622,MALE,4.191667,73.529167,2.0,Aw,Asia,MV
181632,Creteil,48.7885,2.442783,57.0,Cfb,Europe,FR
181660,Kathmandu_Univ,27.601067,85.538333,1510.0,Cwa,Asia,NP
181708,NEON_HEAL,63.875689,-149.213339,678.18,ET,North America,US
181755,DRAGON_Galveston,29.254474,-94.861289,1.0,Cfa,North America,US
181765,NEON_WOOD,47.128228,-99.241356,590.0,Dfb,North America,US
181929,Cabauw,51.971,4.927,-0.7,Cfb,Europe,NL
182222,Son_La,21.3322,103.905151,681.0,Cwa,Asia,VN
182594,DRAGON_Henties_2,-22.115833,14.339791,50.0,BWk,Africa,NA
182600,Tamanrasset_TMP,22.79,5.53,1377.0,BWh,Africa,DZ
182609,Bareilly,28.38996,79.43696,169.0,Cwa,Asia,IN
182664,Hong_Kong_PolyU,22.303333,114.179722,30.0,Cwa,Asia,CN
182933,Dushanbe,38.553264,68.857911,821.0,Csa,Asia,TJ
184123,SDSU_IPLab,44.314828,-96.786075,518.0,Dwa,North America,US
184347,Marseille,43.2824,5.383817,34.0,Csb,Europe,FR
184356,Cabo_Raso,38.70937,-9.48587,20.0,Csb,Europe,PT
184361,NASA_KSC,28.463763,-80.663476,1.2,Cfa,North America,US
184363,Alta_Floresta_IF,-9.908354,-56.064393,288.0,Aw,South America,BR
184373,Dunhuang,40.03838,94.794,1381.0,BWk,Asia,CN
184379,ARM_Graciosa,39.09109,-28.02917,15.2,Cfb,Europe,PT
184406,KITcube_Save,8.000928,2.427925,166.0,Aw,Africa,BJ
184409,CLUJ_UBB,46.768333,23.551389,405.0,Dfb,Europe,RO
184659,Pinehurst_Idaho,47.536739,-116.236917,680.0,Dsb,North America,US
184701,Hada_El-Sham,21.802,39.7289,254.0,BWh,Asia,SA
184821,Rimrock,46.4875,-116.991667,824.0,Cfb,North America,US
185122,CEILAP-BA,-34.555425,-58.506411,26.0,Cfa,South America,AR
185211,Ulaangom,49.973035,92.078183,944.0,BSk,Asia,MN
185215,Granite_Island,46.7208,-87.412,183.0,Dfb,North America,US
185243,Ras_El_Ain,31.670278,-7.599444,570.0,BSh,Africa,MA
185392,DRAGON_Pondok_Upeh,5.33325,100.22661,16.0,Af,Asia,MY
185399,SMART_POL,24.249321,55.612064,250.0,BWh,Asia,AE
185567,ARM_SGP,36.605175,-97.485619,319.0,Cfa,North America,US
185761,New_Delhi,28.630467,77.1751,240.0,BSh,Asia,IN
186035,Campus_USACH,-33.4499,-70.681567,550.0,Csb,South America,CL
186084,Timisoara,45.74626,21.22736,122.0,Cfb,Europe,RO
186307,CalTech,34.13673,-118.126167,260.0,Csb,North America,US
186347,Jabal_Hafeet,24.058217,55.776383,1059.0,BWh,Asia,AE
186380,ISDGM_CNR,45.436981,12.331982,20.0,Cfa,Europe,IT
187071,Brasilia,-15.917,-47.900002,1100.0,Aw,South America,BR
187107,New_Delhi_IMD,28.5885,77.2216,241.0,BSh,Asia,IN
187298,Jingtai,37.333333,104.1,1583.0,BSk,Asia,CN
187352,Walker_Branch,35.958333,-84.2875,365.0,Cfa,North America,US
187608,Ispra,45.80305,8.6267,235.0,Cfb,Europe,IT
188936,Huancayo-IGP,-12.0402,-75.3209,3313.0,ET,South America,PE
188975,HohenpeissenbergDWD,47.8019,11.0119,989.68,Cfb,Europe,DE
188991,Ji_Parana_SE,-10.93425,-61.851517,218.0,Aw,South America,BR
189834,HJAndrews,44.238609,-122.223892,830.0,Csb,North America,US
189851,LISCO,40.954517,-73.341767,12.0,Cfa,North America,US
189980,Fang,19.913397,99.206425,480.0,Aw,Asia,TH
190236,SEARCH-Centreville2,32.90289,-87.24968,126.0,Cfa,North America,US
190261,Xitun,24.1622,120.6169,91.0,Cwa,Asia,TW
190793,South_Greenbay,44.59633,-87.9512,175.87,Dfb,North America,US
190812,Namibe,-15.159,12.178,11.0,BWh,Africa,AO
191115,Beijing,39.97689,116.38137,92.0,Cwa,Asia,CN
194092,DRAGON_UH_Sugarland,29.5741,-95.652,22.0,Cfa,North America,US
194103,Surinam,5.8,-55.2,12.0,Af,South America,SR
194104,San_Marco_Platform,-2.941667,40.214722,20.0,As,Africa,KE
194105,Rexburg_Idaho,43.82011,-111.78301,1501.0,Dfb,North America,US
194266,Al_Khaznah,24.158611,55.100556,192.0,BWh,Asia,AE
194390,DRAGON_Permatang_DL,5.277875,100.271253,13.0,Af,Asia,MY
194401,ARIAKE_TOWER,33.103617,130.27195,15.0,Cfa,Asia,JP
194543,POLWET_Rzecin,52.762019,16.309589,54.0,Cfb,Europe,PL
194557,Rome_ESA_ESRIN,41.826667,12.671833,240.0,Csb,Europe,IT
194562,Warsaw_UW,52.210932,20.982636,117.0,Dfb,Europe,PL
194613,Hermosillo,29.074722,-110.96,237.0,BWh,North America,MX
194616,Beijing-CAMS,39.93333,116.31667,106.0,Cwa,Asia,CN
196272,Possession_Island,-27.010428,15.194255,3.0,BWk,Africa,NA
196275,UH_Coastal_Center,29.3883,-95.0425,5.0,Cfa,North America,US
196314,Niigata,37.846,138.942,10.0,Cfa,Asia,JP
196410,Egbert,44.231543,-79.781414,264.0,Dfb,North America,CA
196821,DRAGON_Konkuk_Univ,37.54205,127.079774,40.0,Dwa,Asia,KR
196917,DRAGON_Bokjeong,37.45699,127.13123,61.2,Dwa,Asia,KR
196983,DRAGON_Galveston_DP,29.254474,-94.861289,1.0,Cfa,North America,US
196992,DRAGON_Bainbridge,39.606044,-76.074122,129.0,Cfa,North America,US
197012,DRAGON_Fukue_2,32.672,128.817,50.0,Cfa,Asia,JP
197017,Tai_Ping,10.3755,114.362,4.0,Am,Asia,TW
197033,USDA-BARC,39.03127,-76.93218,46.0,Cfa,North America,US
197046,Thimphu,27.472643,89.639057,2314.0,ET,Asia,BT
197049,Brasilia_SONDA,-15.60129,-47.71348,992.0,Aw,South America,BR
197067,ARM_Ascension_Is,-7.966964,-14.349806,341.0,Af,Africa,SH
197068,La_Jolla,32.86846,-117.25113,80.0,BSk,North America,US
197096,DRAGON_Chatfield_Pk,39.5345,-105.070365,1676.0,BSk,North America,US
197100,REUNION_ST_DENIS,-20.90139,55.48474,93.0,Cfb,Europe,FR
197109,Bodele,16.883,18.55,179.0,BWh,Africa,TD
197115,Bakersfield,35.331506,-119.000008,108.0,BWh,North America,US
197344,MVCO,41.325,-70.5667,10.0,Cfb,North America,US
197371,Minsk,53.92,27.601,235.0,Dfb,Europe,BY
197782,Billerica,42.528347,-71.268619,82.0,Dfa,North America,US
198037,DRAGON_Weld_Co_Twr,40.38636,-104.737445,1484.0,BSk,North America,US
198039,Alta_Floresta,-9.871339,-56.104453,277.0,Aw,South America,BR
199002,NEON_OAES,35.41059,-99.05879,523.0,Cfa,North America,US
199102,Niamey,13.481389,2.172222,205.0,BSh,Africa,NE
199192,Toyama,36.699,137.187,30.0,Cfa,Asia,JP
199213,Liangning,41.5118,122.7013,15.0,Dwa,Asia,CN
199249,Kuwait_University,29.325,47.971,42.0,BWh,Asia,KW
200274,The_Hague,52.11048,4.32682,18.0,Cfb,Europe,NL
200369,Napoli_CeSMA,40.836842,14.306567,50.0,Csa,Europe,IT
200566,Arica,-18.471667,-70.313333,25.0,BWk,South America,CL
200974,Lanzhou_City,36.04805,103.8534,1516.0,BSk,Asia,CN
200994,Pimai,15.181944,102.564167,220.0,Aw,Asia,TH
201598,DRAGON_WileyFord,39.610446,-78.773648,217.0,Cfa,North America,US
201616,SEGC_Lope_Gabon,-0.20155,11.60082,280.0,Aw,Africa,GA
202158,Kanzelhohe_Obs,46.677232,13.901269,1526.0,Dfb,Europe,AT
202164,Chao_Jou,22.513056,120.529167,12.0,Cwa,Asia,TW
202168,IER_Cinzana,13.278433,-5.933867,285.0,BSh,Africa,ML
206069,Modesto,37.64217,-120.99422,33.0,Csa,North America,US
206366,Anmyon,36.538537,126.330194,47.0,Cwa,Asia,KR
207562,Moscow_MSU_MO,55.706947,37.522019,192.0,Dfb,Europe,RU
207904,Tiksi,71.586917,128.921417,17.0,ET,Europe,RU
207916,Belsk,51.836667,20.791667,190.0,Dfb,Europe,PL
208335,Guadeloup,16.22492,-61.528378,39.0,Am,Europe,FR
208455,Grand_Forks,47.91175,-97.32545,268.0,Dfb,North America,US
208562,DRAGON_CHASE,38.978612,-77.080002,120.0,Cfa,North America,US
208578,Manchester_UoM,53.467374,-2.232006,94.0,Cfb,Europe,GB
208586,Potosi_Mine,-9.23092,-62.863328,124.0,Am,South America,BR
208587,Montevideo_FING,-34.918167,-56.166767,71.0,Cfa,South America,UY
208591,Antikythera_NOA,35.86099,23.30982,193.0,Csa,Europe,GR
208666,Henties_Bay,-22.09506,14.25974,20.0,BWk,Africa,NA
208695,MD_Science_Center,39.28123,-76.612052,15.0,Cfa,North America,US
209537,Tudor_Hill,32.264,-64.879,51.0,Cfa,North America,BM
209539,DRAGON_BelAir,39.500014,-76.263098,52.0,Cfa,North America,US
209555,Galata_Platform,43.044624,28.19319,31.0,Cfb,Europe,BG
209659,Egbert_X,44.231543,-79.781414,264.0,Dfb,North America,CA
209672,KORUS_Daegwallyeong,37.68712,128.75872,837.0,Dfb,Asia,KR
209677,Kibale,0.56045,30.3575,1536.0,Aw,Africa,UG
209679,Alboran,35.939625,-3.35297,15.0,Csa,nan,nan
209703,Edinburgh,55.923967,-3.17915,97.5,Cfb,Europe,GB
209708,St_Helena,-15.9424,-5.6673,434.0,BWh,Africa,SH
209709,NEON_GRSM,35.688961,-83.50195,579.0,Cfa,North America,US
209735,Vinon,43.709233,5.75865,304.0,Csa,Europe,FR
209739,Philadelphia,40.035667,-75.004667,20.0,Cfa,North America,US
209752,Minqin,38.607,102.959,1373.0,BWk,Asia,CN
209755,DRAGON_WSTFD,39.301577,-76.946248,173.0,Cfa,North America,US
209767,Dahkla,23.716667,-15.95,12.0,BWh,Africa,MA
210053,Pantnagar,29.046339,79.520889,241.0,Cwb,Asia,IN
210527,DRAGON_Minowa,35.915,137.980741,713.0,Dfb,Asia,JP
210542,Seguin_Texas_USA,29.570896,-97.982997,175.0,Cfa,North America,US
210544,Santarem,-2.428584,-54.706,25.0,Am,South America,BR
210547,USC_SEAPRISM,33.56371,-118.11782,31.0,BSk,North America,US
210551,Pickle_Lake,51.449444,-90.2175,393.0,Dfc,North America,CA
210621,Murcia,38.001,-1.1707,69.0,BSk,Europe,ES
210903,DRAGON_Henties_3,-22.183889,14.377948,30.0,BWk,Africa,NA
210908,DRAGON_LAREL,39.0808,-76.855,65.0,Cfa,North America,US
210930,Goldstone,35.233333,-116.791667,1100.0,BWk,North America,US
210986,DRAGON_LAUMD,39.1428,-76.8592,112.0,Cfa,North America,US
211024,DRAGON_KentIsland,38.9793,-76.307864,4.0,Cfa,North America,US
211067,Homburi,15.329167,-1.546667,280.0,BWh,Africa,ML
211179,Calipso_West_Denton,38.914961,-75.894331,15.0,Cfa,North America,US
211180,NEON_OSBS,29.689269,-81.993431,47.0,Cfa,North America,US
211190,Senanga,-16.108889,23.293333,1025.0,Cwa,Africa,ZM
211367,Al_Ain,24.242167,55.705167,283.0,BWh,Asia,AE
211393,Fort_McMurray,56.752306,-111.476139,360.0,Dfc,North America,CA
211492,Songkhla_Met_Sta,7.184387,100.604583,15.0,Am,Asia,TH
211699,ORS_UNAM_ISNP,19.399467,-99.203683,2361.0,Cwb,North America,MX
211705,Capo_Verde,16.7325,-22.935499,60.0,As,Africa,CV
213813,Socheongcho,37.423133,124.738039,28.0,Dwa,nan,nan
213949,Ariquiums,-9.916667,-63.033332,142.0,Am,South America,BR
213950,Balbina,-1.916983,-59.4868,80.0,Af,South America,BR
213968,Technion_Haifa_IL,32.77587,35.0249,230.0,Csa,Asia,IL
214041,DRAGON_ELLCT,39.2661,-76.861603,128.0,Cfa,North America,US
214065,HOPE-RWTH-Aachen,50.7777,6.0606,230.0,Cfb,Europe,DE
214067,Strzyzow,49.8786,21.8613,450.0,Dfb,Europe,PL
214161,El_Farafra,27.058,27.990167,92.0,BWh,Africa,EG
214629,Umm_Al_Quwain,25.533333,55.658333,20.0,BWh,Asia,AE
214804,Seoul_SNU,37.458056,126.951111,116.0,Dwa,Asia,KR
216001,AgiaMarina_Xyliatou,35.038,33.0577,521.0,Csa,Asia,CY
216189,Gandhi_College,25.871,84.127944,60.0,Cwa,Asia,IN
220887,Gloria,44.59997,29.35967,30.0,BSk,Europe,RO
220890,BMKG_Jakarta,-6.155239,106.841197,35.0,Af,Asia,ID
221066,Kemigawa_Offshore,35.610833,140.02333,8.2,Cfa,Asia,JP
221077,Cairo_EMA_2,30.080767,31.290067,70.0,BWh,Africa,EG
224245,DRAGON_Sanggye,37.65885,127.06845,35.0,Dwa,Asia,KR
224312,Praia,14.947,-23.484,102.0,As,Africa,CV
224331,Mindelo_OSCM,16.877772,-24.995374,10.0,BWh,Africa,CV
224394,Bambey-ISRA,14.708567,-16.476733,30.0,BSh,Africa,SN
224725,Capel_Dewi,52.424804,-4.004613,48.0,Cfb,Europe,GB
224726,La_Laguna,28.481944,-16.321111,568.0,Csb,Europe,ES
225230,Frenchman_Flat,36.80928,-115.93479,940.0,BWk,North America,US
225236,Lulin,23.468611,120.873611,2868.0,Cwb,Asia,TW
225277,DRAGON_Arvin,35.237959,-118.78781,158.0,BSh,North America,US
225288,Wallops,37.93285,-75.47195,37.0,Cfa,North America,US
225947,Waskesiu,53.914386,-106.069578,569.0,Dfc,North America,CA
226027,DRAGON_Kyungil_Univ,36.038648,128.788442,122.0,Dwa,Asia,KR
226099,Melpitz,51.525525,12.927601,84.0,Cfb,Europe,DE
226107,DRAGON_Yishun_ITE,1.434638,103.844876,2.0,Af,Asia,SG
226110,DRAGON_ABERD,39.515103,-76.16523,37.0,Cfa,North America,US
226135,HOPE-Krauthausen,50.8796,6.4145,100.0,Cfb,Europe,DE
226138,Luang_Namtha,20.9311,101.4162,557.0,Cwa,Asia,LA
227062,Sra_Kaeo,13.6889,102.5043,67.8,Aw,Asia,TH
227299,Marbella_San_Pedro,36.486309,-4.993439,100.0,Csa,Europe,ES
227310,DRAGON_Worton,39.285436,-76.091633,24.0,Cfa,North America,US
227330,Bermuda,32.37,-64.696111,10.0,Cfa,North America,BM
227331,DRAGON_TKMPR,38.995278,-76.997222,90.0,Cfa,North America,US
227335,SP_Bayboro,27.76155,-82.633,5.0,Cfa,North America,US
227347,Bucarest,44.45,26.525,44.0,Cfa,Europe,RO
227365,Skukuza,-24.9917,31.5875,265.0,BSh,Africa,ZA
227891,Misamfu,-10.1712,31.2241,1381.0,Cwa,Africa,ZM
228651,Stornoway_MO,58.21156,-6.182147,82.5,Cfb,Europe,GB
228652,WFF_X-75_Sci_Obs,37.843908,-75.477517,10.0,Cfa,North America,US
228662,DRAGON_Clovis,36.81931,-119.71639,90.0,BSk,North America,US
228669,DRAGON_Matsue,35.48,133.01,10.0,Cfa,Asia,JP
228673,Sao_Tome,0.37469,6.71099,27.0,Am,Africa,ST
228737,DRAGON_Temasek_Poly,1.344821,103.930621,10.0,Af,Asia,SG
228744,Mandalay_MTU,21.972896,96.186136,104.0,Aw,Asia,MM
229276,Jaipur,26.905817,75.806217,450.0,BSh,Asia,IN
232384,JamTown,-9.190911,-63.1798,101.0,Am,South America,BR
232385,UPRM_Lidar_Lab,18.210131,-67.140125,32.0,Am,North America,US
232428,Messina,38.1975,15.566833,15.0,Csa,Europe,IT
232711,La_Paz,-16.539,-68.066467,3439.0,Cwc,South America,BO
232714,Taichung,24.106167,120.49133,10.0,Cwa,Asia,TW
232738,NEON_Bartlett,44.063881,-71.287203,273.0,Dfc,North America,US
232754,Railroad_Valley,38.497,-115.691,1437.0,BSk,North America,US
232816,Toulon,43.135556,6.009444,50.0,Csb,Europe,FR
232983,Lucinda,-18.5198,146.3861,8.0,Am,Oceania,AU
233004,Brisbane-Uni_of_QLD,-27.497083,153.013611,42.0,Cfa,Oceania,AU
233019,Agoufou,15.3454,-1.479117,305.0,BWh,Africa,ML
234801,Hokkaido_University,43.0755,141.3407,59.0,Dfb,Asia,JP
234949,IMAA_Potenza,40.601254,15.7237,770.0,Csb,Europe,IT
235083,Sakeji_School,-11.232956,24.312,1406.0,Cwa,Africa,ZM
235404,San_Giuliano,42.285556,9.519167,55.0,Csb,Europe,FR
235422,Modena,44.631667,10.945278,56.0,Cfa,Europe,IT
236633,Raciborz,50.0831,18.1917,230.0,Cfb,Europe,PL
236747,Sterling,38.98333,-77.46667,85.0,Cfa,North America,US
236756,DRAGON_Conroe,30.350278,-95.425,72.0,Cfa,North America,US
236772,NGHIA_DO,21.04778,105.79964,40.0,Cwa,Asia,VN
237402,Calipso_Church_Hill,39.147466,-75.981717,14.0,Cfa,North America,US
237406,Granada,37.164,-3.605,680.0,Csa,Europe,ES
237799,CATUC_Bamenda,5.9491,10.1563,1293.0,Am,Africa,CM
238287,Sesheke,-17.48083,24.303889,951.0,BSh,Africa,ZM
238300,DRAGON_Smith_Point,29.546111,-94.786969,1.0,Cfa,North America,US
238310,Koforidua_ANUC,6.109408,-0.302058,205.0,Am,Africa,GH
239831,London-UCL-UAO,51.52427,-0.131101,46.605,Cfb,Europe,GB
239842,DRAGON_Hanford,36.31572,-119.64323,50.0,BSk,North America,US
239843,Tampico_MAX_MEX,22.278283,-97.864167,38.0,Aw,North America,MX
239847,Barbados,13.148575,-59.624122,112.0,Af,North America,BB
239853,DRAGON_BOWEM,38.9747,-76.7506,40.0,Cfa,North America,US
239885,Tinga_Tingana,-28.975833,139.990933,38.0,BWh,Oceania,AU
239921,Lumbini_North,27.503722,83.282133,89.0,Cwa,Asia,NP
240545,Blida,36.508333,2.880556,230.0,Csa,Africa,DZ
240929,Bozeman,45.662204,-111.045013,1507.0,BSk,North America,US
241168,NASA_Ames,37.419986,-122.056969,10.0,Csb,North America,US
241268,DRAGON_Shafter,35.50361,-119.2725,86.0,BWk,North America,US
241278,Ussuriysk,43.7004,132.1635,280.0,Dwb,Europe,RU
241666,Petrolina_SONDA,-9.0691,-40.320108,381.0,BSh,South America,BR
241676,Lake_Argyle,-16.1081,128.7485,150.0,BSh,Oceania,AU
242284,Gobabeb,-23.561619,15.041058,405.0,BWk,Africa,NA
242535,Kyiv-AO,50.4523,30.498,200.0,Dfb,Europe,UA
242560,Bratts_Lake,50.204238,-104.713013,586.7,Dfb,North America,CA
242674,DRAGON_ManvelCroix,29.520427,-95.392522,19.0,Cfa,North America,US
242684,Sopot,54.450833,18.564722,11.0,Cfb,Europe,PL
242693,DRAGON_SPBRK,39.0581,-77.0058,110.0,Cfa,North America,US
242763,Oostende,51.225,2.925,23.0,Cfb,Europe,BE
243028,Kelowna_UAS,49.941294,-119.400111,456.0,Dfc,North America,CA
243112,KORUS_Kyungpook_NU,35.889989,128.606416,65.0,Cwa,Asia,KR
243251,Birkenes,58.38845,8.25231,230.0,Cfb,Europe,NO
243269,Chiba_University,35.6247,140.1038,60.0,Cfa,Asia,JP
243443,Baengnyeong,37.966111,124.630278,136.0,Dwa,Asia,KR
243725,DRAGON_Edgewood,39.409834,-76.296352,8.0,Cfa,North America,US
243736,Hampton_Roads,36.783333,-76.449997,10.0,Cfa,North America,US
243769,Arcachon,44.663528,-1.163222,11.0,Cfb,Europe,FR
243848,Georgia_Tech,33.780202,-84.399537,294.0,Cfa,North America,US
243965,Cerro_Poyos,37.108869,-3.487261,1809.0,Csb,Europe,ES
